index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,5_6_7_7#2_6_4_1#4_7_1_1#3_3_4_4#1_5_2_3#2_5_6_7#2_3_6_5#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,21,85.8575,Insane
1,4_1_1_1#2_1_5_3#6_4_2_7#6_6_5_5#4_6_7_3#2_7_5_2#3_7_3_4#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,22,87.8849,Insane
2,2_6_4_1#6_4_5_2#5_3_1_7#1_7_1_3#4_2_7_5#3_7_6_5#2_4_3_6#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,24,90.4,Insane
3,7_5_4_1#2_3_3_4#3_3_7_1#6_1_6_2#1_5_5_6#4_4_6_5#7_2_2_7#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,18,79.832,Very Hard
4,6_2_1_1#1_2_2_5#6_3_1_3#7_2_7_7#4_6_4_7#4_5_5_6#3_3_4_5#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,19,81.8306,Very Hard
5,5_6_7_7#2_6_4_1#4_7_1_1#3_3_4_4#1_5_2_3#2_5_6_7#2_3_6_5#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,21,85.8575,Insane
6,4_1_1_1#2_1_5_3#6_4_2_7#6_6_5_5#4_6_7_3#2_7_5_2#3_7_3_4#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,22,87.8849,Insane
7,2_6_4_1#6_4_5_2#5_3_1_7#1_7_1_3#4_2_7_5#3_7_6_5#2_4_3_6#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,24,90.4,Insane
8,7_5_4_1#2_3_3_4#3_3_7_1#6_1_6_2#1_5_5_6#4_4_6_5#7_2_2_7#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,18,79.832,Very Hard
9,6_2_1_1#1_2_2_5#6_3_1_3#7_2_7_7#4_6_4_7#4_5_5_6#3_3_4_5#0#0,0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,19,81.8306,Very Hard
