index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,6_1_3_0#2_3_1_5#4_0_0_0#5_2_0_0#1_3_2_0#4_6_7_0#5_3_6_5#6_7_7_1#7_2_4_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,20,77.8393,Very Hard
1,4_5_1_0#2_1_5_1#4_0_0_0#6_3_0_0#7_7_6_0#2_7_5_0#3_7_3_4#6_2_4_2#6_3_5_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,22,81.8849,Very Hard
2,4_2_3_0#5_7_5_4#1_0_0_0#3_6_0_0#2_2_6_0#2_7_4_0#3_7_6_6#1_1_7_5#4_1_5_3,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,22,81.8849,Very Hard
3,5_5_2_0#6_7_4_4#6_0_0_0#4_5_0_0#3_7_4_0#6_2_3_0#1_5_2_1#2_6_7_3#1_7_1_3,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,22,81.8849,Very Hard
4,5_3_6_0#4_3_5_7#3_0_0_0#6_2_0_0#6_2_1_0#5_1_1_0#4_4_7_7#7_6_2_2#4_1_5_3,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,20,77.8393,Very Hard
5,3_4_7_0#2_3_5_6#6_0_0_0#7_5_0_0#1_3_3_0#4_2_2_0#5_1_4_1#1_5_7_7#2_6_4_6,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,19,75.8306,Very Hard
6,3_3_5_0#6_4_3_6#6_0_0_0#7_7_0_0#1_7_4_0#5_4_5_0#2_4_3_1#5_2_6_2#1_2_7_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,23,83.9211,Very Hard
7,1_5_6_0#3_4_2_3#1_0_0_0#3_3_0_0#2_4_5_0#7_4_4_0#6_5_7_2#7_5_6_7#2_1_6_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,23,83.9211,Very Hard
8,3_1_5_0#2_2_6_1#6_0_0_0#6_7_0_0#4_3_5_0#5_4_1_0#2_7_1_4#2_5_4_7#3_3_6_7,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,21,79.8575,Very Hard
9,6_4_1_0#3_5_4_7#4_0_0_0#3_3_0_0#4_2_1_0#7_7_6_0#1_2_5_5#6_2_5_1#6_3_2_7,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,7,4,9,28,21,79.8575,Very Hard
